Player,Prg. Pass Distance,Expected Assist,Key Pass,Pass into Final 3rd,Pass into Penalty Area,Prg. Pass,Tackles Won,Tackles Defensive 3rd,Tackles Middle 3rd,Tackles Attacking 3rd,Interceptions,Dribblers Tackled,Carries,Prg. Carries,Carries into Final 3rd,Carries into Penalty Area,Pass Received,Prg. Passes Received
Mudasiru Salifu,82.7,0,0.3,2.73,0,2.42,0.91,0.3,0.91,0.3,1.82,0.61,23,1.21,2.12,0,26.7,0
Ulrik Saltnes,69.8,0.07,0.7,2.56,0.47,4.19,1.16,0.47,0.93,0.47,0.93,0.47,22.6,3.02,2.09,0.23,28.4,5.12
Albert Sambi Lokonga,302.3,0.08,0.75,5.47,1.32,6.98,0.19,0.19,0.57,0.19,0.75,0.38,45.7,1.13,1.13,0.38,50.9,0.75
Ibrahim Sangaré,221.2,0.05,1.05,4.04,0.53,5.44,2.46,2.63,0.88,0.35,0.88,2.28,32.3,0,1.05,0,34.9,1.23
Oier Sanjurjo,47.3,0,0,1,0,1,0.67,1,0.67,0,0.67,0.33,18.3,0,0,0,25,2
Sékou Sanogo,147.3,0,0,1.54,0.38,1.92,0.77,1.15,0.38,0,1.15,0.38,21.9,0,0,0,20,0
Ole Selnæs,155.4,0.06,0.96,2.12,0.19,3.85,0.77,0.58,0.58,0.19,1.15,0.38,28.8,0.58,0.58,0,31,0.77
Volodymyr Shepelyev,169.5,0.03,0.81,3.51,0.54,5.68,0,0.27,0,0,1.35,0,35.4,2.16,0.81,0.54,38.1,1.62
Show,167.1,0,0,2.58,0,3.55,1.29,0.32,0.97,0,0.65,0.65,25.2,0.97,1.29,0,33.9,0
David Silva,164.4,0.05,1.28,6.41,1.28,7.44,0.77,0.26,0.77,0.26,0.77,0,56.4,3.59,5.38,0.26,57.9,6.67
Emmanouil Siopis,174.1,0.03,1.25,3.75,0.31,3.13,1.56,0,1.88,0.31,1.56,1.25,38.4,0.63,0.94,0,40,0.31
Moussa Sissoko,140.6,0,0.21,2.92,0.63,5.42,1.25,0.42,2.08,0,1.04,1.04,31,2.08,1.25,0.42,34.2,2.08
Slavoljub Srnić,145.4,0,0.36,1.07,0.71,3.93,0.71,0.71,0,0,1.07,0.36,26.1,1.43,1.07,0,25.7,4.64
Taras Stepanenko,120,0.03,0.54,1.89,0,2.7,1.35,1.89,1.08,0.27,1.08,1.35,23.2,0,0,0,30.5,0.27
Heorhii Sudakov,275.1,0.07,1.16,3.95,1.4,5.12,0.23,0,0.23,0,0.47,0.23,48.1,1.86,1.4,0,53.7,2.09
Suso,186.3,0.16,3.13,4.06,2.5,6.25,2.19,0.94,1.25,0.94,0.31,1.88,47.8,4.69,3.75,0.31,51.3,9.06
Serhiy Sydorchuk,178.8,0,0.17,3,0.17,2.83,1.83,2.17,1.17,0.5,2,1.67,39.3,1,1.33,0,43.5,1.17
Sebastian Szymański,111.7,0.2,2,2.53,2,4.67,0.93,0.67,0.8,0.93,0.53,1.33,25.5,1.6,0.93,0.53,26.3,7.2
Flavien Tait,210.6,0.04,0.63,4.58,0.83,7.71,1.67,0.83,1.04,0.42,0.63,0.83,45.2,2.29,3.13,0.42,43.3,1.67
Teddy Teuma,260.9,0.27,2.33,5.35,1.63,7.79,1.4,0.81,1.51,0.23,1.51,1.28,47.7,2.33,1.4,0.35,57.8,4.42
Jean Thierry Lazare,95.2,0.06,0.52,1.95,0.13,2.47,0.91,0.65,0.78,0.13,0.52,0.78,28.2,2.86,2.6,0.26,29.9,3.51
Morten Thorsby,54,0.07,0.75,1.25,0.25,2,2,1.75,0.75,0.25,1,1.75,15.3,0.25,0.75,0,22.3,3
Guus Til,83.1,0.06,1.46,2.29,0.21,2.71,0,0.21,0,0.21,0.21,0,23.8,0.63,0.42,0,27.5,4.58
Quinten Timber,161.8,0.04,0.73,4.36,0.73,5.09,0.55,0.55,0.73,0.36,1.09,0.55,33.8,1.09,1.09,0,32,1.09
Óliver Torres,144.8,0.11,1.79,3.75,1.61,7.32,0.54,0.54,0.54,0.18,0.18,0.54,35.4,2.5,2.14,0,42.1,8.75
Ivan Tričkovski,72.8,0.08,0.4,2,0.4,3.2,0,0.4,0.4,0,0.8,0.4,23.2,0,0.4,0,24.4,2.4
Manuel Ugarte Ribeiro,181,0,0.24,3.17,0.49,3.41,3.9,2.44,2.68,0.73,1.22,3.66,52.7,2.44,1.95,0,49,0.73
Chimuanya Ugochukwu,158.8,0.02,0.18,3.04,0.18,3.04,1.61,0.71,1.43,0.36,1.43,0.71,24.6,1.07,0.54,0.36,27.7,0.89
Santeri Väänänen,159.1,0.02,0.36,2,0.18,2.36,0.91,1.09,1.09,0.36,0.73,1.27,33.6,0.55,1.45,0,35.6,1.45
Matías Vecino,156.7,0.26,0.74,3.33,0.74,4.07,0.74,0.37,0.74,0,1.48,0.74,51.1,1.11,1.11,0,50.7,5.56
Bálint Vécsei,173.1,0.11,0.49,2.62,1.15,5.08,1.31,0.82,1.31,0.33,1.48,0.66,30.7,1.15,1.15,0,33,0.66
Joey Veerman,277.8,0.09,1.47,6.32,0.59,6.47,0.74,1.18,0.59,0,0.74,1.18,41.3,0.59,1.32,0.15,44.1,1.47
Hugo Vetlesen,124.8,0.2,2.32,3.57,1.79,7.14,0.71,0.18,0.54,0.36,0.18,0.18,26.6,3.93,2.86,0.54,30.4,3.57
Fabio Vieira,147.7,0.18,1.76,3.38,1.89,4.46,0.27,0.14,0.27,0.14,0.41,0,31.4,1.89,1.89,0.27,35.5,6.22
Mats Wieffer,244,0.08,1.67,5.63,1.25,8.13,0.21,0,0.83,0.21,1.88,0.21,49,1.67,2.08,0.63,52.7,2.92
Georginio Wijnaldum,48.1,0.03,0.56,0.83,0,1.67,0,0,0,0,0.83,0,19.4,0.83,0.56,0.28,17.8,1.94
Florian Wirtz,220.1,0.24,3.13,4.5,2,6.88,0.5,0.25,0.5,0.13,0,0.13,52.3,3.75,4.38,0.75,62.4,9
Jeong Woo-yeong,58.2,0.21,2.5,2.14,0.71,2.86,0.36,0.36,0.36,0,0.71,0,27.9,1.79,2.14,0.36,32.9,6.43
Granit Xhaka,225.2,0.16,2.06,6.19,2.06,8.89,1.43,0.32,1.11,0.48,0.32,0.63,46.3,0.79,0.63,0,56.2,5.24
İsmail Yüksek,356.8,0.17,1.25,6.5,1,6.75,1.5,1.25,1.75,0,2.25,1.25,37,1,1.75,0,49.5,0.75
Martín Zubimendi,235.3,0,0,3.75,0,2.5,0.25,0.5,0.25,0,3,0.25,43.8,1.75,4.25,0,40,0.5
Oleksandr Zubkov,88.4,0.08,1.05,1.05,1.32,2.89,1.58,1.58,1.05,0.26,0.53,2.11,30,2.63,2.37,0.26,28.9,6.05
Martin Ødegaard,195.6,0.59,3.33,3.33,3.33,8.89,0,0.37,1.48,0,0.74,0.74,35.9,3.33,2.96,0.74,47.4,5.19
