,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
9,56091,51,BlockedShot,0.9219999694824219,0.20399999618530273,0.02734326757490635,Kolo Touré,h,476,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Roberto Firmino,Pass
10,56092,52,MissedShots,0.7040000152587891,0.46,0.013041096739470959,Nathaniel Clyne,h,603,FromCorner,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,,None
11,56094,59,MissedShots,0.75,0.35400001525878905,0.010847121477127075,Roberto Firmino,h,482,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,,Aerial
12,56096,62,SavedShot,0.8059999847412109,0.48700000762939455,0.05369913950562477,Jordan Henderson,h,605,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Roberto Firmino,Pass
13,56097,65,SavedShot,0.774000015258789,0.37599998474121094,0.02571139857172966,Emre Can,h,604,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,,TakeOn
14,56098,67,MissedShots,0.7240000152587891,0.585,0.016984736546874046,Adam Lallana,h,486,OpenPlay,2015,LeftFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Nathaniel Clyne,Pass
15,56099,71,MissedShots,0.955,0.5629999923706055,0.13540206849575043,Mamadou Sakho,h,485,SetPiece,2015,Head,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,James Milner,Cross
16,56103,85,BlockedShot,0.7530000305175781,0.575,0.02207382209599018,Jordon Ibe,h,481,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,James Milner,TakeOn
17,56104,88,MissedShots,0.89,0.605999984741211,0.06356333941221237,Christian Benteke,h,606,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Jordon Ibe,Cross
18,56105,88,BlockedShot,0.845,0.4640000152587891,0.0717797726392746,James Milner,h,489,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Christian Benteke,Pass
0,56085,29,MissedShots,0.8009999847412109,0.6480000305175782,0.028864329680800438,Ander Herrera,a,552,OpenPlay,2015,RightFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Anthony Martial,Pass
1,56088,45,BlockedShot,0.894000015258789,0.6869999694824219,0.06497399508953094,Anthony Martial,a,553,OpenPlay,2015,LeftFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Wayne Rooney,TakeOn
2,56093,55,MissedShots,0.9640000152587891,0.6580000305175782,0.07878653705120087,Anthony Martial,a,553,OpenPlay,2015,LeftFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,Wayne Rooney,TakeOn
3,56095,61,MissedShots,0.735999984741211,0.5940000152587891,0.034353531897068024,Matteo Darmian,a,557,FromCorner,2015,LeftFoot,298,Liverpool,Manchester United,0,1,2016-01-17 18:05:00,,TakeOn
